"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"4823","07-20T23:00:00",159,50,64.9,64.9,7.6
"4824","07-21T00:00:00",141,49.5,63,63,7.3
"4825","07-21T01:00:00",148,49.6,62.3,62.3,7.2
"4826","07-21T02:00:00",143,49.4,61.3,61.3,7.4
"4827","07-21T03:00:00",135,49.2,60.4,60.4,7.4
"4828","07-21T04:00:00",138,49,59.7,59.7,7.1
"4829","07-21T05:00:00",123,48.6,59.5,59.5,7.2
"4830","07-21T06:00:00",133,49.4,62.2,62.2,6.8
"4831","07-21T07:00:00",141,50.3,67.4,67.4,6.2
"4832","07-21T08:00:00",125,49.7,71.5,71.5,6.6
"4833","07-21T09:00:00",109,49.1,74.8,74.8,7.7
"4834","07-21T10:00:00",96,48.4,77.5,77.4,8.8
"4835","07-21T11:00:00",89,47.8,79.8,79.8,9.9
"4836","07-21T12:00:00",87,47,81.2,81.2,10.4
"4837","07-21T13:00:00",74,46.8,81.5,81.5,10.7
